"dataset","task_id","dataset_id","target","problem_type","metric","n_folds","n_repeats","n_instances","n_features","n_classes","pct_categorical","can_run_tabpfnv2","can_run_tabicl","domain","source","year","licence","url"
"credit_card_clients_default",363627,46919,"DefaultOnPaymentNextMonth","binary","roc_auc",3,3,30000,23,2,16.6666666666667,FALSE,TRUE,"finance","UCI",2009,"CC BY 4.0","https://doi.org/10.24432/C55S3H"
"customer_satisfaction_in_airline",363628,46920,"satisfaction","binary","roc_auc",3,3,129880,21,2,77.2727272727273,FALSE,TRUE,"business & marketing","Kaggle",2023,"CC0: Public Domain","https://www.kaggle.com/datasets/yakhyojon/customer-satisfaction-in-airline"
"diabetes",363629,46921,"TestedPositiveForDiabetes","binary","roc_auc",3,10,768,8,2,11.1111111111111,TRUE,TRUE,"medical & healthcare","OpenML",1988,"CC0: Public Domain","https://www.kaggle.com/datasets/uciml/pima-indians-diabetes-database"
"Diabetes130US",363630,46922,"EarlyReadmission","binary","roc_auc",3,3,71518,47,2,83.3333333333333,FALSE,TRUE,"medical & healthcare","UCI",2014,"CC BY 4.0","https://doi.org/10.24432/C5230J"
"diamonds",363631,46923,"price","regression","rmse",3,3,53940,9,NA,30,FALSE,FALSE,"business & marketing","Other",2015,"MIT License","https://github.com/tidyverse/ggplot2/blob/main/data-raw/diamonds.csv"
"E-CommereShippingData",363632,46924,"ArrivedLate","binary","roc_auc",3,3,10999,10,2,45.4545454545455,TRUE,TRUE,"business & marketing","Kaggle",2021,"Public Domain","https://www.kaggle.com/datasets/prachi13/customer-analytics"
"Fitness_Club",363671,46927,"attended","binary","roc_auc",3,10,1500,6,2,57.1428571428571,TRUE,TRUE,"business & marketing","Kaggle",2023,"Public Domain","https://www.kaggle.com/datasets/ddosad/datacamps-data-science-associate-certification"
"Food_Delivery_Time",363672,46928,"Time_taken(min)","regression","rmse",3,3,45451,9,NA,30,FALSE,FALSE,"business & marketing","Kaggle",2023,"Database Contents License (DbCL) v1.0","https://www.kaggle.com/datasets/rajatkumar30/food-delivery-time"
"GiveMeSomeCredit",363673,46929,"FinancialDistressNextTwoYears","binary","roc_auc",3,3,150000,10,2,9.09090909090909,FALSE,TRUE,"finance","Kaggle",2011,"Public","https://www.kaggle.com/competitions/GiveMeSomeCredit"
"hazelnut-spread-contaminant-detection",363674,46930,"Contaminated","binary","roc_auc",3,10,2400,30,2,3.2258064516129,TRUE,TRUE,"biology & life sciences","OpenML",2020,"CC BY-SA","https://www.openml.org/d/45538"
"healthcare_insurance_expenses",363675,46931,"charges","regression","rmse",3,10,1338,6,NA,42.8571428571429,TRUE,FALSE,"medical & healthcare","Kaggle",2023,"Database Contents License (DbCL) v1.0","https://www.kaggle.com/datasets/arunjangir245/healthcare-insurance-expenses/"
"heloc",363676,46932,"RiskPerformance","binary","roc_auc",3,3,10459,23,2,4.16666666666667,TRUE,TRUE,"finance","Kaggle",2021,"Public","https://www.kaggle.com/datasets/averkiyoliabev/home-equity-line-of-creditheloc"
"hiva_agnostic",363677,46933,"CompoundActivity","multiclass","log_loss",3,3,3845,1617,3,100,FALSE,FALSE,"chemistry & material science","Other",2007,"Public","http://www.agnostic.inf.ethz.ch"
"houses",363678,46934,"LnMedianHouseValue","regression","rmse",3,3,20640,8,NA,0,FALSE,FALSE,"business & marketing","Other",1990,"Public","https://lib.stat.cmu.edu/datasets/"
"HR_Analytics_Job_Change_of_Data_Scientists",363679,46935,"LookingForJobChange","binary","roc_auc",3,3,19158,12,2,76.9230769230769,FALSE,TRUE,"business & marketing","Kaggle",2021,"CC0: Public Domain","https://www.kaggle.com/datasets/arashnic/hr-analytics-job-change-of-data-scientists"
"in_vehicle_coupon_recommendation",363681,46937,"AcceptCoupon","binary","roc_auc",3,3,12684,24,2,88,TRUE,TRUE,"business & marketing","UCI",2017,"CC BY 4.0","https://doi.org/10.24432/C5GS4P"
"Is-this-a-good-customer",363682,46938,"bad_client_target","binary","roc_auc",3,10,1723,13,2,64.2857142857143,TRUE,TRUE,"business & marketing","Kaggle",2020,"CC0: Public Domain","https://www.kaggle.com/datasets/podsyp/is-this-a-good-customer"
"jm1",363712,46979,"defects","binary","roc_auc",3,3,10885,21,2,4.54545454545455,TRUE,TRUE,"technology & internet","OpenML",2004,"Public Domain","https://www.openml.org/d/1053"
"kddcup09_appetency",363683,46939,"appetency","binary","roc_auc",3,3,50000,212,2,18.3098591549296,FALSE,TRUE,"business & marketing","Other",2008,"Public","https://kdd.org/kdd-cup/view/kdd-cup-2009/Intro"
"Marketing_Campaign",363684,46940,"Response","binary","roc_auc",3,10,2240,25,2,34.6153846153846,TRUE,TRUE,"business & marketing","Kaggle",2020,"Public","https://www.kaggle.com/datasets/rodsaldanha/arketing-campaign"
"maternal_health_risk",363685,46941,"RiskLevel","multiclass","log_loss",3,10,1014,6,3,14.2857142857143,TRUE,TRUE,"medical & healthcare","UCI",2020,"CC BY 4.0","https://doi.org/10.24432/C5DP5D"
"miami_housing",363686,46942,"SALE_PRC","regression","rmse",3,3,13776,15,NA,6.25,TRUE,FALSE,"business & marketing","OpenML",2016,"CC BY-NC-SA","https://www.openml.org/d/43093"
"MIC",363711,46980,"LET_IS","multiclass","log_loss",3,10,1699,111,8,84.8214285714286,TRUE,TRUE,"medical & healthcare","UCI",2020,"CC BY 4.0","https://doi.org/10.24432/C53P5M"
"NATICUSdroid",363689,46969,"Malware","binary","roc_auc",3,3,7491,86,2,100,TRUE,TRUE,"technology & internet","UCI",2021,"CC BY 4.0","https://doi.org/10.24432/C5FS64"
"online_shoppers_intention",363691,46947,"Revenue","binary","roc_auc",3,3,12330,17,2,44.4444444444444,TRUE,TRUE,"business & marketing","UCI",2017,"CC BY 4.0","https://doi.org/10.24432/C5F88Q"
"physiochemical_protein",363693,46949,"ResidualSize","regression","rmse",3,3,45730,9,NA,0,FALSE,FALSE,"chemistry & material science","UCI",2013,"CC BY 4.0","https://doi.org/10.24432/C5QW3H"
"polish_companies_bankruptcy",363694,46950,"company_bankrupt","binary","roc_auc",3,3,5910,64,2,1.53846153846154,TRUE,TRUE,"finance","UCI",2010,"CC BY 4.0","https://doi.org/10.24432/C5F600"
"qsar-biodeg",363696,46952,"Biodegradable","binary","roc_auc",3,10,1054,41,2,14.2857142857143,TRUE,TRUE,"biology & life sciences","UCI",2013,"CC BY 4.0","https://doi.org/10.24432/C5H60M"
"QSAR-TID-11",363697,46953,"MEDIAN_PXC50","regression","rmse",3,3,5742,1024,NA,0,FALSE,FALSE,"chemistry & material science","OpenML",2015,"Public","https://www.openml.org/d/3050"
"QSAR_fish_toxicity",363698,46954,"LC50","regression","rmse",3,10,907,6,NA,0,TRUE,FALSE,"biology & life sciences","UCI",2015,"CC BY 4.0","https://doi.org/10.24432/C5JG7B"
"SDSS17",363699,46955,"ObjectType","multiclass","log_loss",3,3,78053,11,3,25,FALSE,TRUE,"physics & astronomy","Kaggle",2022,"Public Domain","https://www.kaggle.com/datasets/fedesoriano/stellar-classification-dataset-sdss17"
"seismic-bumps",363700,46956,"HighEnergySeismicBump","binary","roc_auc",3,3,2584,15,2,25,TRUE,TRUE,"environmental science & climate","UCI",2013,"CC BY 4.0","https://doi.org/10.24432/C5W902"
"splice",363702,46958,"SiteType","multiclass","log_loss",3,3,3190,60,3,100,TRUE,TRUE,"biology & life sciences","UCI",1991,"CC BY 4.0","https://doi.org/10.24432/C5M888"
"students_dropout_and_academic_success",363704,46960,"AcademicOutcome","multiclass","log_loss",3,3,4424,36,3,48.6486486486487,TRUE,TRUE,"education","UCI",2021,"CC BY 4.0","https://doi.org/10.24432/C5MC89"
"superconductivity",363705,46961,"critical_temp","regression","rmse",3,3,21263,81,NA,0,FALSE,FALSE,"physics & astronomy","UCI",2018,"CC BY 4.0","https://doi.org/10.24432/C53P47"
"taiwanese_bankruptcy_prediction",363706,46962,"Bankrupt","binary","roc_auc",3,3,6819,94,2,1.05263157894737,TRUE,TRUE,"finance","UCI",2009,"CC BY 4.0","https://doi.org/10.24432/C5004D"
"website_phishing",363707,46963,"WebsiteType","multiclass","log_loss",3,10,1353,9,3,100,TRUE,TRUE,"technology & internet","UCI",2014,"CC BY 4.0","https://doi.org/10.24432/C5B301"
"wine_quality",363708,46964,"median_wine_quality","regression","rmse",3,3,6497,12,NA,7.69230769230769,TRUE,FALSE,"chemistry & material science","UCI",2009,"CC BY 4.0","https://doi.org/10.24432/C56S3T"
